#  ID B-V
0272  0.536
0266  0.820
0505  1.342
0777  0.541
0598  0.672
0010  0.739
0516  0.818
0077  0.580
0538  1.248
0401  0.432
0115  0.980
0723  0.051
0009  1.043
0013  0.674
0014  0.975
0023  0.871
0022  0.465
0024  1.644
0028  0.603
0033  1.064
0034  0.781
0036  1.520
0038  1.437
0043  0.741
0045  1.188
0051  1.140
0049  0.481
0052  1.092
0053  1.684
0056  0.888
0057  0.960
0064  0.347
0072  0.693
0080  1.476
0082  0.674
0084  0.608
0092  0.524
0098  1.112
0099  1.434
0101  0.529
0103  1.452
0114  1.231
0116  1.190
0118  0.786
0130  1.200
0133  0.683
0134  0.518
0138  0.816
0139  1.088
0147  0.670
0149  0.981
0150  0.855
0163  0.497
0166  0.085
0167  1.369
0178  0.965
0184  0.951
0187  1.111
0189  1.144
0198  0.629
0203  1.335
0211  2.197
0215  1.113
0216  0.829
0219  1.414
0222  0.703
0232  0.575
0246  0.955
0249  0.607
0255  0.464
0257  0.538
0259  0.540
0270  1.022
0281  0.884
0309  1.027
0307  0.900
0312  0.583
0319  0.968
0317  0.042
0320  0.746
0321  1.272
0323  0.661
0330  0.913
0325  0.521
0332  1.128
0331  0.833
0337  0.412
0349  0.838
0351  1.023
0354  1.015
0358  1.375
0368  0.119
0374  0.552
0375  0.609
0378  0.635
0379  0.655
0389  0.562
0394  0.498
0396  0.624
0400  1.558
0406  0.437
0405  0.425
0408  0.594
0409  0.874
0414  0.832
0420  1.276
0427  1.220
0431  0.334
0432  0.660
0433  0.974
0434  0.469
0441  0.445
0442  0.964
0450  0.672
0453  0.232
0460  1.138
0467  0.864
0471  0.485
0476  0.969
0479  0.466
0481  1.630
0482  0.418
0507  0.639
0511  0.810
0512  0.921
0514  0.864
0521  0.606
0523  0.032
0526  1.260
0525  0.389
0539  0.920
0541  0.565
0562  0.745
0565  0.886
0574  0.386
0584  0.660
0603  1.605
0611  0.492
0620  1.299
0622  0.545
0621 -0.120
0628  0.571
0648  1.141
0654  1.254
0667  1.204
0679  0.803
0683  1.079
0697  1.280
0699  0.594
0703  0.903
0706 -0.046
0726  0.595
0730  0.990
0742  0.599
0747  0.571
0752  0.507
0755  1.150
0759  0.151
0760  1.451
0779  0.960
0785  1.119
0791  0.595
0796  0.162
0798  0.572
0799  0.643
0806  0.555
0808  0.968
0818  0.095
0825  0.892
0830  1.220
0846  0.933
0845  1.167
0855  0.744
0861  0.674
0867  1.107
0868  0.556
0871  1.668
0873  2.288
0874  1.204
0881  1.123
0883  0.426
0893  1.133
0895  1.028
0359  0.644
0143  0.362
0153  0.831
0757  0.487
